Gouvernorat,Délégation,Localité,Texte annonce,Prix,Date
Nabeul,Kélibia,Kélibia,"Investir 2100mètre carré un terrain magique on propose un terrain de 2100 m² de titre foncier collectif avec vue imprenable sur la mer situés a kerkouane. prix :1260 md. pour plus d’informations, veuillez nous contacter au 27307890 Surface: 2 100 m²",1260000,03/04/2025
Nabeul,Kélibia,Kélibia,"Terrain de 840 mètre carré au bord de la mer terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- dar allouche. superficie : 840 m² prix : 672 md téléphone pour plus information : 27 307 890 Surface: 840 m²",672000,03/04/2025
Nabeul,Kélibia,Kélibia,Terrain de 694mètre carré au cap bon nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage kelibia. surface : 694 m² prix : 1735 md pour plus d'informations contactez-nous : 27307890 Surface: 694 m²,1735000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain de 3000mètre carré a tamazrat un merveilleux terrain titre foncier collectif agricole avec façade sur mer de hammam el ghezaz. superficie 3000 m² pour accueillir votre futur projet touristique . prix :1500 md contact direct avec le propriétaire 27307890 Surface: 3 000 m²,1500000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Bonne occasion d'investissement a hammam jebli profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam jebli. superficie : 907 m² prix :1179.1 md pour plus d’information contacter nous à 27 307 890 Surface: 907 m²,1179100,03/04/2025
Nabeul,Kélibia,Kélibia,Offre a ne pas rater un merveilleux terrains à partager titre foncier avec façade sur mer à hammam el ghezaz. - superficie 5 ha pour accueillir votre futur projet touristique. - prix : 1000 md par facilité offre valable jusqu'au le 30/06/2025 - contact : 99307890 Surface: 50 000 m²,1000000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Terrain a ezzahra de 645 mètre carré terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- hammam el ghezez ezzahra. superficie : 645 m² prix : 967.5 md téléphone pour plus information : 27 307 890 Surface: 645 m²",967500,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Un terrain de 600 mètre carré au cap bon terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- hammam el ghezez superficie : 600 m² prix : 1020 md téléphone pour plus information : 27 307 890 Surface: 600 m²",1020000,03/04/2025
Nabeul,Al Haouaria,Al Haouaria,Terrain de 1073mètre carré au bord de la mer un merveilleux terrain titre foncier collectif agricole avec façade sur mer de hammam el ghezaz. superficie 1073 m² pour accueillir votre futur projet touristique . prix :1073 md contact direct avec le propriétaire 27307890 Surface: 1 073 m²,1073000,03/04/2025
Nabeul,Kélibia,Kélibia,Offre de 1600mètre carré a kerkouane un merveilleux terrain titre foncier collectif agricole avec façade sur mer de hammam el ghezaz. superficie 1600 m² pour accueillir votre futur projet touristique . prix :960 md contact direct avec le propriétaire 27307890 Surface: 1 600 m²,960000,03/04/2025
Nabeul,Kélibia,Kélibia,Terrain de 1150mètre carré a dar allouche des terrains avec vue imprenable sur la mer. superficie à partir de 1150 m² à dar allouche dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :920 md contact direct avec le propriétaire 27307890 Surface: 1 150 m²,920000,03/04/2025
Nabeul,Kélibia,Kélibia,Terrain de 780mètre carré a kelibia des terrains avec vue imprenable sur la mer. superficie à partir de 780 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :1950 md contact direct avec le propriétaire 27307890 Surface: 780 m²,1950000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,1220mètre carré agricole de hammam jebli des terrains avec vue imprenable sur la mer. superficie à partir de 1220 m² à hammam jebli dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :1586 md contact direct avec le propriétaire 27307890 Surface: 1 220 m²,1586000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Investir 770 mètre carré a ezzahra un merveilleux terrain titre foncier collectif agricole avec façade sur mer de hammam el ghezaz. superficie 770 m² pour accueillir votre futur projet touristique . prix :1155 md contact direct avec le propriétaire 27307890 Surface: 770 m²,1155000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Investissement 830 mètre carré a hammam el ghezaz un merveilleux terrain titre foncier collectif agricole avec façade sur mer de hammam el ghezaz. superficie 830 m² pour accueillir votre futur projet touristique . prix :1411 md contact direct avec le propriétaire 27307890 Surface: 830 m²,1411000,03/04/2025
Nabeul,Al Haouaria,Al Haouaria,Un terrain de 970mètre carré a el haouaria avendre un terrain de 970 m² titre foncier collectif de vocation agricole avec vue sur mer a el haouaria. profitez de cette opportunité exceptionnelle pour investir dans un emplacement privilégié prix : 970 md . contactez-nous pour plus d’informations 27307890 Surface: 970 m²,970000,03/04/2025
Nabeul,Kélibia,Kélibia,Offre de terrain de 2350 mètre carré a vendre un terrain de 2350m² titre foncier collectif de vocation agricole avec vue sur mer a kerkouane. profitez de cette opportunité exceptionnelle pour investir dans un emplacement privilégié prix : 1410 md . contactez-nous pour plus d’informations 27307890 Surface: 2 350 m²,1410000,03/04/2025
Nabeul,Kélibia,Kélibia,913 mètre carré a dar allouche nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage dar allouche. surface : 913 m² prix : 730.4 md pour plus d'informations contactez-nous : 27307890 Surface: 913 m²,730400,03/04/2025
Nabeul,Kélibia,Kélibia,Un terrain de 853 mètre carré a kelibia nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage kelibia. surface : 853 m² prix : 2132.5 md pour plus d'informations contactez-nous : 27307890 Surface: 853 m²,2132500,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Offre de 1300 mètre carré a hammam jebli des terrains avec vue imprenable sur la mer. superficie à partir de 1300 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :1690 md contact direct avec le propriétaire 27307890 Surface: 1 300 m²,1690000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain paradisiaque de 2500 mètre carré des terrains avec vue imprenable sur la mer. superficie à partir de 2500 m² à hammam el ghezaz tamazrat dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :1250 md contact direct avec le propriétaire 27307890 Surface: 2 500 m²,1250000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Pour investir un terrain de 530 mètre carré terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- hammam el ghezez superficie : 530 m² prix : 795 md téléphone pour plus information : 27 307 890 Surface: 530 m²",795000,03/04/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Un terrain a hammam el ghezaz de 1070 mètre carré profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz . superficie : 1070 m² prix :1819 md pour plus d’information contacter nous à 99 307 890 Surface: 1 070 m²,1819000,03/04/2025
Bizerte,El Alia,El Alia,Vente terrain à Tella 33km de géant Vente un terrain agricole de superficie 2000 m² sur la route goudronnée de Tella à 2 km de la route principale de Bizerte. Papiers en règle. Plan de topos,65000,03/04/2025
Sfax,Route El Ain,Route El Ain,27000m2 route elain km 20 Terrain agricole d'une superficie de 27000m2 soit 30 marja3 sis à Sfax route Elain km 20 à droite de la route principale. sur le terrain est édifié un petit studio et il est implanté de 50 amandiers 50 abricotier 4 figuiers et d'autres arbres fruitiers. Très bonne qualité des arbres avec une excellente production. Prix 310mD. Télé 55656626.,310000,03/04/2025
Nabeul,Al Haouaria,Al Haouaria,Investir un terrain collectif et agricole un merveilleux terrain titre foncier collectif agricole avec façade sur mer de hammam el ghezaz. superficie 2770 m² pour accueillir votre futur projet touristique . prix :2777 md contact direct avec le propriétaire 27307890 Surface: 2 770 m²,2770000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Offre de 4000 mètre carré a tamazrat des terrains avec vue imprenable sur la mer. superficie à partir de 4000 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :2000 md contact direct avec le propriétaire 27307890 Surface: 4 000 m²,2000000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Bonne occasion de 1150 mètre carré terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- hammam jebli. superficie : 1150 m² prix : 1495 md téléphone pour plus information : 27 307 890 Surface: 1 150 m²",1495000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Bonne affaire de 885 mètre carré agricole profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra superficie : 885 m² prix :1327.5 md pour plus d’information contacter nous à 27 307 890 Surface: 885 m²,1327500,04/03/2025
Nabeul,Al Haouaria,Al Haouaria,"Une belle opportunité de terrain a partager à partager un terrain de 1000 m² à titre foncier à ezzahra hammam el ghezaz pour investissement. emplacement : situé à ezzahra hammam el ghezaz a coté de el haouaria. superficie : a partir de 1000 m² prix : 63 md avance 15 md et le reste à 48 mois offre valable jusqu'au 30/06/2025 pour plus d'information, appeler whatsapp : 99.307.890 Surface: 1 000 m²",63000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,980 mètre carré au cap bon hammam el ghezaz profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz superficie : 980 m² prix :1660 md pour plus d’information contacter nous à 27 307 890 Surface: 980 m²,1666000,04/03/2025
Nabeul,Kélibia,Kélibia,Terrain pour les investisseurs a kerkouane un terrain de 3700 m² à partager pour investissement touristique écologique titre foncier collectif entre hammam jebli et kerkouane. prix :2220 md. pour plus d’information appeler : 27307890 Surface: 3 700 m²,2220000,04/03/2025
Nabeul,Kélibia,Kélibia,Offre de 780 mètre carré au bord de la mer des terrains avec vue imprenable sur la mer. superficie à partir de 780 m² à dar allouche dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :624 md contact direct avec le propriétaire 27307890 Surface: 780 m²,624000,04/03/2025
Nabeul,Kélibia,Kélibia,Un terrain de 512 mètre carré a kelibia a partager un terrain de 512 m² titre foncier collectif avec vue sur mer a kelibia. profitez de cette opportunité exceptionnelle pour investir dans un emplacement privilégié prix :1280 md contactez-nous pour plus d’informations 27307890 Surface: 512 m²,1280000,04/03/2025
Manouba,Borj El Amri,Borj El Amri,"Terrain bien placé pour les amoureux de la nature à 5mn de borj el amri et 30mn de Tunis ville, je mets en vente un très beau terrain agricole d'une surface de 2ha clôturé titré accès par route goudronné avec entrée privé .Terre extra, non fatigué, de qualité, pouvant vous permettre d'exercer une activité agricole de plantations diverses; élevages , de construire une villa de compagne etc.... Alimentations en eau potable ,électricité force NB : possibilité de vendre par ha ou par lots de1/2 ha. Vente direct sans frais d'agence",1111,04/03/2025
Nabeul,Al Haouaria,Al Haouaria,1900 mètre carré au cap bon el haouaria a partager un terrain de 1900 m² titre foncier collectif avec accès directe a la plage de hammam el ghezaz a tamazrat. prix :1900 md pour plus d’info 27307890 Surface: 1 900 m²,1900000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,5000 mètre carré au bord de la mer tamazrat un terrain de 5000 m² à partager pour investissement touristique écologique titre foncier collectif a tamazrat. prix :2500 md. pour plus d’information appeler : 27307890 Surface: 5 000 m²,2500000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Nonne occasion de hammam jebli au bord dela mer un terrain de 1415 m² à partager pour investissement touristique écologique titre foncier collectif a hammam jebli . prix :1819 md. pour plus d’information appeler : 27307890 Surface: 1 415 m²,1819000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Un terrain de 980 mètre carré a ezzahra a vendre un terrain de 980 m ² titre foncier collectif de vocation agricole, 1ere position a la plage d’ezzahra kelibia emplacement d’investissement avec façade sur mer panoramique sur plage hammam el ghezaz. prix:1470 md pour plus information appeler : 27307890 Surface: 980 m²",1470000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Terrain magique avec façade sur mer a ezzahra a partager un terrain de 1000 m ² titre foncier collectif , 1ere position a la plage d’ezzahra kelibia emplacement d’investissement avec façade sur mer panoramique sur plage hammam el ghezaz . prix :90 md pour plus information appeler : 99307890 Surface: 1 000 m²",90000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Bonne affaire de terrain de 745 mètre carré on propose un terrain de 745 m² de titre foncier collectif avec vue imprenable sur la mer situés a hammam el ghezaz , une destination côtière prisée. prix :1266.5 md. pour plus d’informations, veuillez nous contacter au 27307890 Surface: 745 m²",1266500,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Un terrain magique avec façade sur mer a partager un terrain de 1000 m ² titre foncier collectif , 1ere position a la plage d’ezzahra kelibia emplacement d’investissement avec façade sur mer panoramique sur plage hammam el ghezaz . prix :90 md pour plus information appeler : 99307890 Surface: 1 000 m²",90000,04/03/2025
Nabeul,Kélibia,Kélibia,1850 mètre carré a kerkouane pour investir nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage kerkouane. surface : 1850 m² prix : 1110 md pour plus d'informations contactez-nous : 27307890 Surface: 1 850 m²,1110000,04/03/2025
Nabeul,Kélibia,Kélibia,Un terrain de 1201 mètre carré profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : kelibia dar allouche. superficie : 1201 m² prix : 960.8 md pour plus d’information contacter nous à 27307890 Surface: 1 201 m²,960800,04/03/2025
Nabeul,Kélibia,Kélibia,"Un terrain collectif de 1300 mètre carré on propose un terrain de 1030 m² de titre foncier collectif avec vue imprenable sur la mer situés entre hammam jebli et ezzahra kelibia , une destination côtière prisée. prix :2575 md. pour plus d’informations, veuillez nous contacter au 27307890 Surface: 1 030 m²",2575000,04/03/2025
Nabeul,Al Haouaria,Al Haouaria,Terrain paradisiaque de 2020 mètre carré avendre un terrain de 2020 m² titre foncier collectif de vocation agricole avec vue sur mer a el haouaria . profitez de cette opportunité exceptionnelle pour investir dans un emplacement privilégié prix : 2020 md . contactez-nous pour plus d’informations 27307890 Surface: 2 020 m²,2020000,04/03/2025
Sousse,Kalâa Seghira,Kalâa Seghira,Titre foncier individuel a vendre un chan de surface indiqué +70 oliviers pas loin de route goudronnée Adresse: route oued laya kalla sghira Surface: 5 800 m²,85000,04/03/2025
Bizerte,Utique,Utique,"Terrain agricole vt001012 à vendre terrain agricole ain ghalel emplacementdirectement sur la route principale, proche du centre d'ain ghalel superficie 3,5 hectares façade importante offrant un excellent accès et de nombreuses possibilités d'aménagement idéal pour projets agricoles divers excellent emplacement pour une ferme ou un projet de développement contient un puit proximité du centre d'ain ghalel assurant un accès facile aux commodité prix attractif occasion rare à saisir contactez-nous dès maintenant pour plus d'informations ou pour planifier une visite. agence immobilière best service cité de la santé la corniche bizerte tél 98141173 53300150 98141225 27431606 Adresse: ain ghalel Surface: 35 000 m²",120000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,3500 mètre carré a tamazrat nabeul profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz tamazrat. superficie : .3500 m² prix : 1750 md pour plus d’information contacter nous à 27307890 Surface: 3 500 m²,1750000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Un terrain de 880 mètre carré au cap bon nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage hammam jebli. surface : 880 m² prix : 1144 md pour plus d'informations contactez-nous : 27307890 Surface: 880 m²,1144000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Bonne occasion de 560 mètre carré profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra superficie : 560 m² prix : 840 md pour plus d’information contacter nous à 27307890 Surface: 560 m²,840000,04/03/2025
Nabeul,Al Haouaria,Al Haouaria,Un meilleur investissement a houaria nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage haouaria. surface : 818 m² prix : 818 md pour plus d'informations contactez-nous : 27307890 Surface: 818 m²,818000,04/03/2025
Nabeul,Kélibia,Kélibia,Bonne affaire de 3300 mètre carré profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra superficie : 3300 m² prix :1980 md pour plus d’information contacter nous à 27 307 890 Surface: 3 300 m²,1980000,04/03/2025
Nabeul,Kélibia,Kélibia,Terrain de 990 mètre carré a dar allouche des terrains avec vue imprenable sur la mer. superficie à partir de 990 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :792 md contact direct avec le propriétaire 27307890 Surface: 990 m²,792000,04/03/2025
Nabeul,Kélibia,Kélibia,"Terrain de 945 mètre carré au cap bon à vendre un terrain pour investissement touristique écologique, titre foncier collectif de vocation agricole avec une magnifique vue de façades sur mer, disponible de suite région : nabeul ezzahra kelibia superficie: à partir de 945 m² prix : 2362.5 md téléphone : 27307890 Surface: 945 m²",2362500,04/03/2025
Nabeul,Al Haouaria,Al Haouaria,818 mètre carré pour investir au cap bon profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : el haouaria . superficie : 818 m² prix :818 md pour plus d’information contacter nous à 27 307 890 Surface: 818 m²,818000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,3000mètrer carré a hammem el ghazez pour un meilleur investissement on met a votre disposition un terrain de 3000 m² titre foncier collectif de vocation agricole pied dans l’eau situé a tamazrat. prix : 1500 md ; contacter : 27307890 Surface: 3 000 m²,1500000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Un terrain de 907 mètre carré a hammam jebli profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam jebli. superficie : 907 m² prix :1179.1md pour plus d’information contacter nous à 27 307 890 Surface: 907 m²,1179100,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain agricole de 645 mètre carré profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra superficie : 645 m² prix :967.5 md pour plus d’information contacter nous à 27 307 890 Surface: 645 m²,967500,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain de 600 mètre carré pour investir des terrains avec vue imprenable sur la mer. superficie à partir de 600 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :1020 md contact direct avec le propriétaire 27307890 Surface: 600 m²,1020000,04/03/2025
Nabeul,Kélibia,Kélibia,"1000 mètre carré a kerkouane au cap bon on propose un terrain de 1000 m² de titre foncier collectif de vocation agricole avec vue imprenable sur la mer situés a hammam el ghezaz a coté kerkouane , une destination côtière prisée. prix : 90 md. pour plus d’informations, veuillez nous contacter au 99 307 890 Surface: 1 000 m²",90000,04/03/2025
Nabeul,Kélibia,Kélibia,Un terrain de 2100 mètre carré a kerkouane profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : kerkouane. superficie : 2100 m² prix :1260 md pour plus d’information contacter nous à 27 307 890 Surface: 2 100 m²,1260000,04/03/2025
Nabeul,Kélibia,Kélibia,Pour les investisseurs 840 mètre carré des terrains avec vue imprenable sur la mer. superficie à partir de 840 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :672 md contact direct avec le propriétaire 27307890 Surface: 840 m²,672000,04/03/2025
Nabeul,Kélibia,Kélibia,Un terrain de 694 mètre carré a kelibia pour un meilleur investissement on met a votre disposition un terrain de 694 m² titre foncier collectif de vocation agricole pied dans l’eau situé a kelibia. prix : 1735 md . contacter : 27307890 Surface: 694 m²,1735000,04/03/2025
Nabeul,Al Haouaria,Al Haouaria,Un terrain de 1073 mètre carré des terrains avec vue imprenable sur la mer. superficie à partir de 1073 m² à el haouaria dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :1073 md contact direct avec le propriétaire 27307890 Surface: 1 073 m²,1073000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Terrain paradisiaque de 2000 mètre carré a vendre un terrain de 1000 m² titre foncier collectif de vocation agricole, situé a tamazrat ce terrain possède d’une façade sur mer. prix :1000 md. contact : 27307890 Surface: 2 000 m²",1000000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain agricole de 1220 mètre carré un terrain de 5000 m² à partager pour investissement touristique écologique titre foncier collectif a hammam jebli . prix :1586 md. pour plus d’information appeler : 27307890 Surface: 1 220 m²,1586000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Terrain a ezzahra de 770 mètre carré a partager un terrain de 770 m² titre foncier collectif , 1ere position a la plage d’ezzahra kelibia emplacement d’investissement avec façade sur mer panoramique prix :1155 md. pour plus information appeler : 27307890 Surface: 770 m²",1155000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain de mètre carré a hammam el ghezaz profitez de l’opportunité unique d’acquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra superficie : 830m² prix :1411md pour plus d’information contacter nous à 27 307 890 Surface: 830 m²,1411000,04/03/2025
Nabeul,Kélibia,Kélibia,Terrain a partager au bord de la mer a partager un terrain de 1000 m² titre foncier collectif avec vue sur mer a hammam el ghezaz. profitez de cette opportunité exceptionnelle pour investir dans un emplacement privilégié . prix :90 md . contactez-nous pour plus d’informations 99307890 Surface: 1 000 m²,90000,04/03/2025
Nabeul,Kélibia,Kélibia,"Terrain de 1600 mètre carré a kerkouane un terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- kerkouane. superficie : 1600 m² prix :960 md téléphone pour plus information : 27 307 890 Surface: 1 600 m²",960000,04/03/2025
Nabeul,Kélibia,Kélibia,"Terrain de 780 mètre carré a kelibia un terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul-kelibia superficie : 780 m² prix :1950 md téléphone pour plus information : 27 307 890 Surface: 780 m²",1950000,04/03/2025
Nabeul,Kélibia,Kélibia,"Terrain de 1150 mètre carré a dar allouche un terrain à vendre pour investissement touristique écologique, titre foncier collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- dar allouche. superficie : 1150 m² prix :920 md téléphone pour plus information : 27 307 890 Surface: 1 150 m²",920000,04/03/2025
Nabeul,Al Haouaria,Al Haouaria,Terrain de 970 mètre carré a el haouaria un merveilleux terrain titre foncier collectif agricole avec façade sur mer de el haouaria. superficie 970 m² pour accueillir votre futur projet touristique. prix :970 md contact direct avec le propriétaire 27307890 Surface: 970 m²,970000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,1300 mètre carré au bord de la mer un terrain de 1300 m² à vendre pour investissement touristique écologique titre foncier collectif entre hammam jebli et kerkouane. prix :1690 md. pour plus d’information appeler : 27307890 Surface: 1 300 m²,1690000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrai a tamazrat de 2500 mètre carré nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage hammam el ghezez tamazrat. surface : 2500 m² prix : 1250 md pour plus d'informations contactez-nous : 27307890 Surface: 2 500 m²,1250000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,1070 mètre carré au bord de la mer nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage hammam el ghezez. surface : 1070 m² prix : 1819 md pour plus d'informations contactez-nous : 27307890 Surface: 1 070 m²,1819000,04/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Un meilleur investissement au cap bon nous vous offrons une opportunité de terrain en tunisie de titre foncier collectif au bord de la plage hammam el ghezez. surface : 1070 m² prix : 1819 md pour plus d'informations contactez-nous : 27307890 Surface: 1 070 m²,1819000,04/03/2025
Nabeul,Kélibia,Kélibia,Affaire de 2350 mètre carré a kerkouane a vendre un terrain de 2350 m² titre foncier collectif avec accès directe a la plage kerkouane. prix :1410 md pour plus d’info 27307890 Surface: 2 350 m²,1410000,04/03/2025
Nabeul,Kélibia,Kélibia,Bonne affaire de 913 mètre carré agricole des terrains avec vue imprenable sur la mer. superficie à partir de 913 m² à dar allouche dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :730.4 md contact direct avec le propriétaire 27307890 Surface: 913 m²,730400,04/03/2025
Nabeul,Kélibia,Kélibia,Occasion de 853 mètre carré au cap bon des terrains avec vue imprenable sur la mer. superficie à partir de 853 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif prix :2132.5 md contact direct avec le propriétaire 27307890 Surface: 853 m²,2132500,04/03/2025
Nabeul,Hammamet,Hammamet,"Terrain de 4000 m avec olive a vendre un terrain de 4000 m² contient des olives en plein production,zone des villas,existence de l'éléctricité et eau potable prix/m² 120dt plan cadastre titre bleu individuel frais de visite 40dt contacter 97914795 Adresse: monchar 2 hammamet loin de godron 200 m Surface: 4 000 m²",480000,04/03/2025
Zaghouan,El Fahs,El Fahs,"Terrain olivier avec sondage a vendre un terrain de 20 hectares loin de centre de fahs 20 km et loin de godron 500 m , dans une zone montagnieuse, composé de 1200 olivier, des amandes,un sondage et une maison avec l'eau potable permis de sondage contrat d'achat enregistré au recette de finance possibilité de faire une promesse de vente et après contrat fini prix 550 milles dinars négociable frais de visite 50dt contacter 97914795 Adresse: 20 km de centre d'elfahs Surface: 200 000 m²",550000,04/03/2025
Sfax,Agareb,Agareb,"Poulailler a vendre, une ferme avicole inachevée sur un terrain de 6 000 mètres carrés place sfax note. dans les journaux, il y a un terrain avec une ferme avicole. pour toute demande de renseignements, veuillez appeler le 98347122. Adresse: مدجنة Surface: 6 000 m²",150000,04/03/2025
Nabeul,Hammamet,Hammamet,"Terrain agricole terrain à vendre à el faouara 350m du route ceinture hammamet -nord/tunis. superficie totale de 2546 m2 à raison de 350dt le m2 titre foncier individuel, équipé par un puits , électricité force et tous les papiers en règle. prix légèrement négociable pour toutes informations supplémentaires veuillez bien contacter le 26345822 ou le 98786282 Adresse: route ceinture hammamet nord Surface: 2 546 m²",891100,04/03/2025
Zaghouan,Bir Mcherga,Bir Mcherga,"Vente 12,5 hectares Terrain Agricole El Mnegaa Excellente opportunité : a vendre terrain agricole nu de 12,5 hectares dont un hectare planté en oliviers (150 pieds - âge 5 ans). Autorisation de forage d'un sondage de 140 m. Convient pour une plantation amandier et/ou pistachier. Localisation à el Mnagaa à 33 km de Tunis . 30 000 DT/hectare Prix Total 360 000 DT Type transaction: A Vendre Surface en m²: 125000",360000,04/03/2025
